display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,age_14_18,age_19_21,age_22_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,4286.73894607622,6948.291763867357,8308.255763688765,28886.386079932192,28775.576396289962,26718.586689425374,21922.12952302485,9552.2930037703
0,0,Total - All Industries,,,18,000,00000,Indiana,2019,000000,,0,0,101702.94542411964,173057.81748682057,200771.98647910467,683461.0215760771,662108.3811217513,656623.4763706415,560706.1326429837,201960.66399621134
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,37429.00799127859,57915.64589300829,71315.1275517301,244871.52560538158,244898.23173568497,219355.55696297728,178598.08309767416,74140.98178651465
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,2104.3431750069576,5851.68591600079,6407.324571608576,16805.988420788206,15184.586152210539,13554.803938972596,12104.880261514425,5098.666259922213
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,21909.148189306394,36177.494367206666,41826.9232889199,151449.6760833344,149995.98913210613,139058.9338729866,112617.13434355409,43415.446972028
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2020,000000,,0,0,1337.2019039339052,3167.2297135602576,3396.7716483388085,9721.444767191597,9168.21504871781,8921.925138798395,7782.57509606735,2829.0188449211255
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,123311.5335574775,201798.48854019877,260434.99624410935,969077.0730252332,968900.1673628613,921922.61299369,775706.215529345,333996.9210346134
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,36502.980396172126,60866.39517234422,66825.36536156002,244513.0454518449,231217.20483592918,221682.2586594551,191815.66478609823,64511.28524957804
0,0,Total - All Industries,,,18,000,00000,Indiana,2020,000000,,0,0,94397.02993524456,160040.2033279829,187332.56975876266,644309.9307936773,646508.6687667246,621318.7355467682,535715.3243665157,185099.57016879326
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,0,0,1440.7448574511034,2188.4464518640093,2463.4097743268776,8269.55762555736,8488.814283812997,8267.301409675472,7334.3901176118625,2885.803627073145
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,1804.2962193410663,5139.76934143328,6195.340450357932,15894.588858261759,14543.592981035123,13484.632107501442,11683.730732538554,4434.203110836645
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,33033.03445821319,54934.245828780106,62893.341039311956,229145.2389678685,224375.1456388787,208437.39731798743,180332.2217747847,61174.854063020306
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,7532.385881557101,12168.030544614632,14063.24926842029,47868.1509456737,45984.39413919061,45682.465554911236,39989.00247359904,14083.930004877004
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,2870.4993272348565,6155.752712712554,7159.171107099431,21467.720471411885,20786.75215708779,19754.29964509798,16427.423029154805,5732.885081133139
