display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2017,000000,,0,0,22569.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2012,000000,,0,0,32266.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2017,000000,,0,0,17191.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2019,000000,,0,0,1552.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2018,000000,,0,0,23253.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,41888.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2013,000000,,0,0,50004.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,0,0,24252.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2021,000000,,0,0,2606.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2023,000000,,0,0,1874.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,36425.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2014,000000,,0,0,490.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,2666.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2018,000000,,0,0,84340.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,39506.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2014,000000,,0,0,1811.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2011,000000,,0,0,965.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,5291.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2019,000000,,0,0,1340.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,0,0,6857.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2017,000000,,0,0,16571.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2021,000000,,0,0,4444.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2019,000000,,0,0,4634.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,0,0,2203.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2017,000000,,0,0,71114.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,53851.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2019,000000,,0,0,2098.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2012,000000,,0,0,966.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2017,000000,,0,0,1290.0
0,0,Healthcare Total,,,0,000,00000,United States,2019,000000,,0,0,3767826.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2021,000000,,0,0,2060.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2013,000000,,0,0,2060.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2025,000000,,0,0,1787.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2024,000000,,0,0,5746.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2012,000000,,0,0,234.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2010,000000,,0,0,22857.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2013,000000,,0,0,4394.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,33072.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2014,000000,,0,0,1314.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,6284.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2024,000000,,0,0,139376.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2011,000000,,0,0,241.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2012,000000,,0,0,465.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,37099.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2014,000000,,0,0,486.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2017,000000,,0,0,6398.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2022,000000,,0,0,2453.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2012,000000,,0,0,786.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2016,000000,,0,0,69086.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2012,000000,,0,0,157.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2025,000000,,0,0,27630.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2016,000000,,0,0,26153.0
0,0,Healthcare Total,,,0,000,00000,United States,2022,000000,,0,0,5776335.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,111520.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2013,000000,,0,0,447.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,2984.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2013,000000,,0,0,7116.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2018,000000,,0,0,3551.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2011,000000,,0,0,269.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2017,000000,,0,0,1190.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2014,000000,,0,0,61975.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2017,000000,,0,0,1089.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2018,000000,,0,0,21955.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2024,000000,,0,0,1870.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2024,000000,,0,0,4045.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2018,000000,,0,0,30756.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,2881.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2011,000000,,0,0,4650.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2024,000000,,0,0,8024.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2015,000000,,0,0,2254.0
0,0,Healthcare Total,,,0,000,00000,United States,2025,000000,,0,0,5302163.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2016,000000,,0,0,1427.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2015,000000,,0,0,55248.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2014,000000,,0,0,3087.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2016,000000,,0,0,18364.0
0,0,Healthcare Total,,,0,000,00000,United States,2023,000000,,0,0,5299968.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,0,0,4444.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2015,000000,,0,0,821.0
0,0,Healthcare Total,,,0,000,00000,United States,2014,000000,,0,0,1983631.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2018,000000,,0,0,1798.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2012,000000,,0,0,496.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2018,000000,,0,0,86786.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2020,000000,,0,0,1520.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2012,000000,,0,0,28236.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2024,000000,,0,0,1865.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2015,000000,,0,0,3007.0
0,0,Healthcare Total,,,0,000,00000,United States,2011,000000,,0,0,1329099.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2011,000000,,0,0,11376.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2010,000000,,0,0,486.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2020,000000,,0,0,4987.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2025,000000,,0,0,7336.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,3760.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2024,000000,,0,0,3049.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,1771.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2016,000000,,0,0,665.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2017,000000,,0,0,2657.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2014,000000,,0,0,686.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,2769.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2024,000000,,0,0,28812.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,4956.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2025,000000,,0,0,3457.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2015,000000,,0,0,786.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2020,000000,,0,0,2296.0
0,0,Healthcare Total,,,0,000,00000,United States,2015,000000,,0,0,2440906.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2020,000000,,0,0,29392.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2018,000000,,0,0,8874.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2010,000000,,0,0,3537.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2021,000000,,0,0,12975.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2020,000000,,0,0,1530.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2013,000000,,0,0,43316.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2017,000000,,0,0,4102.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,1127.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,8927.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2024,000000,,0,0,3231.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2013,000000,,0,0,609.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2014,000000,,0,0,893.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2015,000000,,0,0,16633.0
0,0,Healthcare Total,,,0,000,00000,United States,2010,000000,,0,0,933206.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2014,000000,,0,0,3190.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2012,000000,,0,0,187.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2015,000000,,0,0,22904.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2014,000000,,0,0,10996.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2019,000000,,0,0,1202.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2022,000000,,0,0,7784.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2017,000000,,0,0,1348.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2010,000000,,0,0,407.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2025,000000,,0,0,2682.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2016,000000,,0,0,3988.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2015,000000,,0,0,490.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,32210.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2010,000000,,0,0,614.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2012,000000,,0,0,8736.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2023,000000,,0,0,149930.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2016,000000,,0,0,20305.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2024,000000,,0,0,10407.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2010,000000,,0,0,1427.0
0,0,Healthcare Total,,,0,000,00000,United States,2018,000000,,0,0,3257399.0
0,0,Healthcare Total,,,0,000,00000,United States,2017,000000,,0,0,2655897.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2015,000000,,0,0,5934.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,43935.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2013,000000,,0,0,1418.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,4061.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2018,000000,,0,0,3447.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2012,000000,,0,0,9940.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2018,000000,,0,0,4473.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2012,000000,,0,0,2735.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2022,000000,,0,0,167130.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,33221.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2013,000000,,0,0,1947.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2015,000000,,0,0,2147.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2017,000000,,0,0,1322.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2016,000000,,0,0,71629.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2015,000000,,0,0,18517.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2022,000000,,0,0,9267.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2010,000000,,0,0,4340.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2013,000000,,0,0,646.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2017,000000,,0,0,2038.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2010,000000,,0,0,225.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,1574.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,55113.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2015,000000,,0,0,960.0
0,0,Healthcare Total,,,0,000,00000,United States,2021,000000,,0,0,5311801.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,000000,,0,0,123543.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2017,000000,,0,0,4275.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2025,000000,,0,0,7037.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,000000,,0,0,44393.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,157493.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2014,000000,,0,0,14178.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2018,000000,,0,0,1222.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2025,000000,,0,0,11860.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,101931.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2021,000000,,0,0,2090.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2011,000000,,0,0,1488.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2025,000000,,0,0,3845.0
0,0,Healthcare Total,,,0,000,00000,United States,2012,000000,,0,0,1347188.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2010,000000,,0,0,20844.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,36990.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2024,000000,,0,0,1915.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2012,000000,,0,0,2583.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,9243.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2014,000000,,0,0,5064.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2020,000000,,0,0,1013.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,5946.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2011,000000,,0,0,2386.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2016,000000,,0,0,2250.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,3317.0
0,0,Healthcare Total,,,0,000,00000,United States,2020,000000,,0,0,4153648.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2018,000000,,0,0,1565.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2011,000000,,0,0,850.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2014,000000,,0,0,1348.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2011,000000,,0,0,33746.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2011,000000,,0,0,6740.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2013,000000,,0,0,306.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,41595.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2024,000000,,0,0,2347.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2010,000000,,0,0,688.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2015,000000,,0,0,1646.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2023,000000,,0,0,9200.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2025,000000,,0,0,1830.0
0,0,Healthcare Total,,,0,000,00000,United States,2016,000000,,0,0,2725909.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2022,000000,,0,0,1593.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2014,000000,,0,0,17156.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2012,000000,,0,0,6338.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2014,000000,,0,0,51293.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2015,000000,,0,0,1652.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2013,000000,,0,0,761.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2021,000000,,0,0,9050.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2013,000000,,0,0,1664.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2012,000000,,0,0,991.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2015,000000,,0,0,788.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,16775.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,3922.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,1547.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2011,000000,,0,0,290.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2010,000000,,0,0,1167.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2021,000000,,0,0,155360.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2025,000000,,0,0,133932.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,3615.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2020,000000,,0,0,1195.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2011,000000,,0,0,1683.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2020,000000,,0,0,113525.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2017,000000,,0,0,2565.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2017,000000,,0,0,72381.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2021,000000,,0,0,7489.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,139678.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2011,000000,,0,0,627.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,9400.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2025,000000,,0,0,2160.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2018,000000,,0,0,1167.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2010,000000,,0,0,2473.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2016,000000,,0,0,6950.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2018,000000,,0,0,2358.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2011,000000,,0,0,302.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2019,000000,,0,0,92536.0
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,12584.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2025,000000,,0,0,30970.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2022,000000,,0,0,1735.0
0,0,Healthcare Total,,,0,000,00000,United States,2024,000000,,0,0,5146039.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2022,000000,,0,0,1437.0
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2024,000000,,0,0,8929.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2010,000000,,0,0,258.0
0,0,Healthcare Total,,,0,000,00000,United States,2013,000000,,0,0,1822780.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2013,000000,,0,0,12318.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2013,000000,,0,0,1548.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2025,000000,,0,0,41880.0
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2016,000000,,0,0,1142.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2012,000000,,0,0,1163.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2016,000000,,0,0,2500.0
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,24701.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2010,000000,,0,0,6706.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2018,000000,,0,0,1349.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2015,000000,,0,0,56279.0
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,2016,000000,,0,0,2104.0
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2011,000000,,0,0,970.0
1,2,    622 - Hospitals,,,00,000,21780,Evansville MSA,2013,000000,,1,1,424.0
1,3,    623 - Nursing and Residential Care,,,00,000,29020,Kokomo MSA,2012,000000,,1,1,20.0
1,3,    623 - Nursing and Residential Care,,,00,000,45460,Terre Haute MSA,2020,000000,,1,1,265.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,1593.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,1615.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2010,000000,,0,0,201.0
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2025,000000,,0,0,1422.0
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2013,000000,,0,0,12101.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2025,000000,,0,0,5647.0
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,4394.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,7118.0
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,2018,000000,,0,0,1254.0
0,0,Healthcare Total,,,18,000,00000,Indiana,2011,000000,,0,0,29030.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,130975.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2014,000000,,0,0,895.0
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2016,000000,,0,0,3694.0
1,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,000000,,1,1,1132.0
1,3,    623 - Nursing and Residential Care,,,00,000,16980,Chicago-Naperville-Elgin MSA,2016,000000,,1,1,14632.0
1,2,    622 - Hospitals,,,00,000,18020,Columbus MSA,2013,000000,,1,1,94.0
1,3,    623 - Nursing and Residential Care,,,00,000,29020,Kokomo MSA,2024,000000,,1,1,483.0
1,2,    622 - Hospitals,,,00,000,14020,Bloomington MSA,2011,000000,,1,1,116.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2016,000000,,0,0,1068.0
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,0,0,37097.0
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2010,000000,,0,0,176.0
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2016,000000,,0,0,1111.0
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,149617.0
1,2,    622 - Hospitals,,,18,000,00000,Indiana,2011,000000,,1,1,10217.0
1,3,    623 - Nursing and Residential Care,,,00,000,17140,Cincinnati MSA,2024,000000,,1,1,6700.0
1,3,    623 - Nursing and Residential Care,,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,1,1,7277.0
1,2,    622 - Hospitals,,,0,000,00000,United States,2020,000000,,1,1,1392471.0
1,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2015,000000,,1,1,608.0
1,1,    621 - Ambulatory Care,,,00,000,14020,Bloomington MSA,2021,000000,,1,1,4853.0
1,3,    623 - Nursing and Residential Care,,,00,000,23060,Fort Wayne MSA,2013,000000,,1,1,476.0
