display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,NAICS,naics_title,Year,group_by_sort,sort,wages
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0,0,80254.62652213735
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2022,0,0,85339.89769157406
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0,0,111503.84454330546
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2024,0,0,91461.83896038051
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2020,0,0,86138.63118169423
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0,0,169759.59517758936
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0,0,188263.8338808623
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2021,0,0,93431.3129999164
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2021,0,0,79374.33341904881
0,0,Tech Total,,,0,000,00000,United States,000000,,2023,0,0,154154.38310829058
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2020,0,0,92590.50765134345
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0,0,91890.02611740286
0,0,Tech Total,,,0,000,00000,United States,000000,,2022,0,0,151022.8915901411
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2021,0,0,76420.18346119742
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2023,0,0,124409.17899034769
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2023,0,0,98526.81593122972
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0,0,87055.68417321294
0,0,Tech Total,,,0,000,00000,United States,000000,,2024,0,0,162012.21734709342
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0,0,194664.96464542078
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2022,0,0,120459.859883212
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2024,0,0,131272.95860638982
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2022,0,0,96900.30776204185
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0,0,82050.00688680791
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0,0,86179.92804818501
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2024,0,0,85262.14814090656
0,0,Tech Total,,,0,000,00000,United States,000000,,2020,0,0,138366.45179025666
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2022,0,0,95770.11456146515
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0,0,89704.57313612955
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2021,0,0,92715.26250492033
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2023,0,0,104738.16209333374
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2023,0,0,82547.15308089863
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2024,0,0,103071.87618408357
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2020,0,0,81987.89386113275
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2022,0,0,99350.51709482777
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2022,0,0,80612.97265615931
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2020,0,0,94557.67212222105
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2020,0,0,73256.67290353788
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2024,0,0,199572.5455748612
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2023,0,0,84410.55202914777
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,0,0,108144.40287841742
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2022,0,0,112747.6042434228
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2020,0,0,72283.46608920743
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2022,0,0,82624.00868296027
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2023,0,0,75255.38394836197
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2024,0,0,72336.30291955019
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2021,0,0,100097.1107521359
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2024,0,0,110308.75367854784
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,0,0,185883.00241248807
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2023,0,0,98783.71609398237
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,0,0,118281.79548846932
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2020,0,0,94522.60222923846
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,0,0,104686.65148792048
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2022,0,0,114277.58010619893
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2024,0,0,89152.10271170983
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2021,0,0,94950.16029384798
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2024,0,0,106033.45245079843
0,0,Tech Total,,,0,000,00000,United States,000000,,2021,0,0,149183.77053079908
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2020,0,0,114563.43882889303
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2021,0,0,117053.2482161066
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2020,0,0,92808.05908063256
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2024,0,0,105732.85171218713
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2021,0,0,112727.67668335908
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2024,0,0,124319.90674034263
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2021,0,0,99594.25022246441
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2023,0,0,80068.16015361884
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2022,0,0,80111.32735055483
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2024,0,0,87960.60201565431
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2024,0,0,97369.68934658964
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2024,0,0,103716.96077172352
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2023,0,0,117810.79042243808
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2023,0,0,88616.80159941535
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2020,0,0,88377.04317161684
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2021,0,0,86235.58275039712
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2024,0,0,96718.37323087122
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,0,0,77396.74661436037
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2021,0,0,81111.4318253271
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2023,0,0,102352.49635672811
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,0,0,88392.75172924894
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2022,0,0,91988.91824005051
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2022,0,0,95464.95513859612
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2023,0,0,95140.52958011799
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2024,0,0,121916.2167056764
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2022,0,0,73650.67243777307
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2020,0,0,73925.68879320426
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2022,0,0,101626.28057174997
1,1,    521 - Central Bank,,,00,000,14020,Bloomington MSA,000000,,2020,1,1,0.0
1,3,    523 - Securities and Investments,,,00,000,17140,Cincinnati MSA,000000,,2021,1,1,192127.63476901813
1,1,    521 - Central Bank,,,00,000,18020,Columbus MSA,000000,,2023,1,1,0.0
1,1,    521 - Central Bank,,,00,000,23060,Fort Wayne MSA,000000,,2024,1,1,0.0
1,5,    525 - Funds and Trusts,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,1,1,43927.734627969825
1,5,    525 - Funds and Trusts,,,00,000,45460,Terre Haute MSA,000000,,2021,1,1,57303.29960721931
1,4,    524 - Insurance,,,18,000,00000,Indiana,000000,,2020,1,1,90823.6867679962
1,4,    524 - Insurance,,,0,000,00000,United States,000000,,2024,1,1,125446.0722724467
1,3,    523 - Securities and Investments,,,00,000,14020,Bloomington MSA,000000,,2020,1,1,102060.0837040326
1,3,    523 - Securities and Investments,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2024,1,1,362046.14769389294
1,1,    521 - Central Bank,,,00,000,18020,Columbus MSA,000000,,2020,1,1,0.0
1,5,    525 - Funds and Trusts,,,00,000,21140,Elkhart-Goshen MSA,000000,,2024,1,1,101336.063576
1,3,    523 - Securities and Investments,,,00,000,23060,Fort Wayne MSA,000000,,2024,1,1,151968.47295541948
1,3,    523 - Securities and Investments,,,00,000,34620,Muncie MSA,000000,,2022,1,1,176780.55306761496
1,5,    525 - Funds and Trusts,,,18,000,00000,Indiana,000000,,2023,1,1,95984.44963964014
1,4,    524 - Insurance,,,18,000,00000,Indiana,000000,,2024,1,1,107227.31420859428
1,1,    521 - Central Bank,,,0,000,00000,United States,000000,,2021,1,1,154521.330743
1,3,    523 - Securities and Investments,,,00,000,17140,Cincinnati MSA,000000,,2023,1,1,199891.39212661108
1,3,    523 - Securities and Investments,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,1,1,173170.09132385228
1,3,    523 - Securities and Investments,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,1,1,143270.8779402056
1,3,    523 - Securities and Investments,,,00,000,33140,Michigan City-La Porte MSA,000000,,2024,1,1,148815.73418766444
1,5,    525 - Funds and Trusts,,,00,000,14020,Bloomington MSA,000000,,2022,1,1,71605.93657745249
1,1,    521 - Central Bank,,,00,000,14020,Bloomington MSA,000000,,2024,1,1,0.0
1,1,    521 - Central Bank,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2024,1,1,123751.017008
1,4,    524 - Insurance,,,00,000,29020,Kokomo MSA,000000,,2020,1,1,81952.3428034079
1,2,    522 - Credit Intermediation,,,00,000,33140,Michigan City-La Porte MSA,000000,,2020,1,1,68804.66926372523
1,3,    523 - Securities and Investments,,,00,000,33140,Michigan City-La Porte MSA,000000,,2023,1,1,138074.3013035913
1,1,    521 - Central Bank,,,00,000,45460,Terre Haute MSA,000000,,2020,1,1,0.0
1,2,    522 - Credit Intermediation,,,0,000,00000,United States,000000,,2024,1,1,133254.47788780523
1,4,    524 - Insurance,,,00,000,18020,Columbus MSA,000000,,2024,1,1,83402.0852547307
1,4,    524 - Insurance,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,1,1,82111.50425885411
1,1,    521 - Central Bank,,,00,000,34620,Muncie MSA,000000,,2024,1,1,0.0
1,1,    521 - Central Bank,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2023,1,1,0.0
1,2,    522 - Credit Intermediation,,,00,000,45460,Terre Haute MSA,000000,,2022,1,1,72188.59337498723
1,4,    524 - Insurance,,,00,000,18020,Columbus MSA,000000,,2020,1,1,77470.00811211522
1,1,    521 - Central Bank,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,1,1,0.0
1,5,    525 - Funds and Trusts,,,00,000,21780,Evansville MSA,000000,,2023,1,1,125168.86770418232
1,5,    525 - Funds and Trusts,,,00,000,21780,Evansville MSA,000000,,2024,1,1,310475.28684717463
1,1,    521 - Central Bank,,,00,000,29020,Kokomo MSA,000000,,2021,1,1,0.0
1,2,    522 - Credit Intermediation,,,00,000,29020,Kokomo MSA,000000,,2022,1,1,84361.48300936632
1,3,    523 - Securities and Investments,,,00,000,29020,Kokomo MSA,000000,,2023,1,1,98134.38288776288
1,2,    522 - Credit Intermediation,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,1,1,76163.70587667862
1,1,    521 - Central Bank,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,1,1,140081.473733
1,1,    521 - Central Bank,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,1,1,0.0
1,1,    521 - Central Bank,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2021,1,1,0.0
1,3,    523 - Securities and Investments,,,18,000,00000,Indiana,000000,,2021,1,1,171696.1629800775
1,4,    524 - Insurance,,,0,000,00000,United States,000000,,2020,1,1,108195.87044110945
1,1,    521 - Central Bank,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,1,1,169845.653064
1,2,    522 - Credit Intermediation,,,00,000,17140,Cincinnati MSA,000000,,2022,1,1,102148.73364368029
1,5,    525 - Funds and Trusts,,,00,000,18020,Columbus MSA,000000,,2024,1,1,146892.62267317827
1,1,    521 - Central Bank,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2021,1,1,113992.687396
1,3,    523 - Securities and Investments,,,00,000,29020,Kokomo MSA,000000,,2021,1,1,93247.04987909162
1,1,    521 - Central Bank,,,00,000,29020,Kokomo MSA,000000,,2024,1,1,0.0
1,4,    524 - Insurance,,,00,000,45460,Terre Haute MSA,000000,,2024,1,1,83683.7145817264
1,1,    521 - Central Bank,,,18,000,00000,Indiana,000000,,2021,1,1,170161.460083
1,5,    525 - Funds and Trusts,,,00,000,17140,Cincinnati MSA,000000,,2024,1,1,121508.75177072626
1,1,    521 - Central Bank,,,00,000,21780,Evansville MSA,000000,,2022,1,1,0.0
1,5,    525 - Funds and Trusts,,,00,000,23060,Fort Wayne MSA,000000,,2020,1,1,62342.179468963695
1,4,    524 - Insurance,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2022,1,1,104884.803259207
1,1,    521 - Central Bank,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,1,1,123858.630285
1,3,    523 - Securities and Investments,,,00,000,34620,Muncie MSA,000000,,2020,1,1,163440.4219342136
1,2,    522 - Credit Intermediation,,,00,000,34620,Muncie MSA,000000,,2022,1,1,61842.47389928357
1,2,    522 - Credit Intermediation,,,00,000,45460,Terre Haute MSA,000000,,2024,1,1,78114.48508818011
1,5,    525 - Funds and Trusts,,,18,000,00000,Indiana,000000,,2022,1,1,83580.3735168749
1,1,    521 - Central Bank,,,0,000,00000,United States,000000,,2023,1,1,158945.564253
1,4,    524 - Insurance,,,00,000,17140,Cincinnati MSA,000000,,2024,1,1,121428.71998483999
1,4,    524 - Insurance,,,00,000,18020,Columbus MSA,000000,,2023,1,1,82575.23052642355
